OPERACIÓN MÉCANICA,TOP BOY,AGILITY,AGILITY RS,AGILITY CITY 150,BET & WIN,ACTIV,"SPIKE
",AGILITY RS  NAKED  ,SUPER 8,GACELA,CRUCERO             x-town 300,ROCKET,FLY 125,TWIST,JETIX,UNI-K 110,TRACK,PULSAR 135,Perseo,PULSAR,PULSAR 180 UG,PULSAR 150  ,THOR 160,PULSAR 200  ,PULSAR 150 NS ,PULSAR 150 AS,PULSAR 200 AS ,PULSAR 200 NS ,TITAN,PULSAR  RS 200,PULSAR 220,AVENGER 220,XCD ,DISCOVER 100,DISCOVER 135,"
BOXER",LEXUS,DISCOVER 100 5S,DISCOVER 150,CHAMPION,DISCOVER 125 ST,"
BOXER BM 100",BOXER BM 150,BOXER BM 100 ES ,PLATINO 125,PLATINO 125 - 5S,"
 PLATINO 100",PLATINO 110,FAMILLY,"MOTOCARRO
4T",TORITO,"MOTOCARRO
DIESEL"," KAZE
MAX II",ZX 130- MAGIC II,KMX,KLX 150,KLX150  L,KLX 250,NINJA 250,NINJA 250 FI,Z250,Z250 SL,ER-6n,TRANS-SPORT,MRX 150,FURAX,BOMBER 125,BOMBER 250,COMBAT 125,ZS,LIFE,HUNTER,BLACK,VENOM 400,VENOM 250,ONE,FLOW,ADVANCE II LF,ZONTES 155,ZONTES 310M,SHOCK,TNT150i,180S,TNT25N,LEONCINO 500,LEONCINO 250,TRK 500X,TRK 251,302 S
CAMBIO CONDUCTO FILTRO DEL AIRE CARBURADOR,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1.3,1.3,1,,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,,0.5,1,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1,0.4,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.5,0.5,1.0,1,0.5,0.5,0.5,0.3,0.5,0.5,0.3,0.3,0.3,1,0.3,1,0.3,0.3
CAMBIO ABRASADERAS DEL CONDUCTO DEL AIRE,0.4,0.2,0.2,0.2,0.2,0.5,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.7,1,1,0.7,1,1.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,,0.7,1,0.5,0.5,0.5,0.5,,,,,,0.5,0.5,0.5,0.3,0.1,0.3,0.2,0.2,0.2,0.2,1.0,0.7,0.5,0.5,0.5,,0.2,0.5,,,,,,,,
CAMBIO Y/O REVISION DEL SENSOR DE AIRE,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,0.7,0.5,0.2,0.2,0.2,0.5,0.5,0.5,0.5,0.5,1,0.5,0.3,0.3,,,,,,,,,,0.5,0.5,0.5,,,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5
CAMBIO Y/O REVISION DEL SENSOR DE LA VALVULA SOLENOIDE,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.5,,,,,,,,,,,,,,,,,,,,,,1.5,,1.5,,
CAMBIO VALVULA SAI,,,,,,,,,0.3,0.3,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,PTE,,,,,,,,,0.3,,0.3,0.3,0.3,,,,,1,1,1,,,1,,,,,,,,
SISTEMA DE ESCAPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMPIAR EXHOSTO O MOFLE ( DESCARBONADA ),0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO EMPAQUE(S) MOFLE,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,1,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1.5,1.5,,0.4,0.4,0.5,0.4,0.4,0.5,1,1,1,0.8,1,0.4,0.4,0.8,0.4,0.7,0.4,0.4,4,0.4,0.4,0.7,0.4,0.4,0.4,0.4,1,0.4,0.4,1,1,1,1,1,1,1,1
CAMBIO SILENCIADOR,,,,,,,,,,,,,,,,,,0.4,0.4,,0.4,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.4,0.4,0.5,0.4,1,1,1,1,,0.4,0.4,,,,,,,,0.5,,,,,1,,,1,1,1,1,1,1,1,1
CAMBIO DEL EXHOSTO O MOFLE COMPLETO,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1,1,1,1,1,1,1.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1.5,1.5,,0.4,0.4,0.5,0.5,0.5,0.5,1,1,1,1,1,0.5,0.5,0.5,0.4,0.7,0.4,0.4,0.4,0.4,0.4,0.7,1,0.4,0.4,0.4,1,0.4,0.4,1,1,1,1,1,1,1,1
CAMBIO Y/O REVISION DEL SENSOR OXIGENO O LAMDA,,,,,,,,,,,,,,,,,,0.7,0.7,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,1,1,1,1,,,,,,,,,,,0.5,,,,,1,2,,0.5,0.7,0.5,0.6,0.5,0.6,0.5,0.5
CONJUNTO CIGÜEÑAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO BALINERAS CIGÜEÑAL,5,5,5,5,6,5.5,5.5,5,5,5,5.5,5,5,5,5.5,5.5,5.5,6,6,7.5,7.5,7.5,7.5,8,7,8.3,8.3,8,9,9,7.5,7.5,5.5,5.5,6,5,5,6,6,6,6,5,5.5,5.5,5.5,5.5,5,5.5,5.5,9,9,,5.5,5.5,6,6,6,7,,,,,,5.5,6,7.5,5,7.5,5,5,5,5,5,,8,5.5,5.5,5.5,7,5,5.5,,,,,,,,
CAMBIO CIGÜEÑAL,5,5,5,5,6,5.5,5.5,5,5,5,5.5,5,5,5,5.5,5.5,5.5,6,6,7.5,7.5,7.5,7.5,8,7,8.3,8.3,8,9,9,7.5,7.5,5.5,5.5,6,5,5,6,6,6,6,5,5.5,5.5,5.5,5.5,5,5.5,5.5,9,9,,5.5,5.5,6,6,6,7,10,10,10,9.7,12,5.5,6,7.5,5,7.5,5,5,5,5,5,11.5,8,5.5,5.5,5.5,9,5,5.5,9,9,10,11,10,12,10,10
CAMBIO RETEN LADO VOLANTE,4,3,3,3,,2,2,3,3,3,,3,3,3,2,2,2,,,2,2,2,2,,,,,,,,2,2,,,6,1.5,NA,,,,,1.5,,,,,1.5,,,9,9,,,,6,,,,,,,,,,,1.5,1.5,,1.5,3,3,3,3,,,2,2,2,7,3,2,,,,,,,,
CAMBIO RETEN LADO CLUTCH ,4,5,5,5,6,,,5,5,5,7,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,5,5,2,2,,,,,,,2,,,,,,,,,
CAMBIO CARCASA CENTRO DE MOTOR DERECHA,5,5,5,5,6,5.5,5.5,5,5,5,8,5,5,5,5.5,5.5,5.5,6.5,6.5,8,8,8,8,8.5,7.5,8.8,8.8,8.5,9.5,9.5,8,8,6,6,6.5,5.5,5.5,6.5,6.5,6.5,6.5,5.5,6,6,6,6,5.5,6,6,,,,,5.5,6,6,6,7,,,,,,,6,,5.5,7.5,5.5,5,5,5,5,,8.5,5.5,5.5,5.5,7,5,5.5,,,,,,,,
CAMBIO CARCASA CENTRO DE MOTOR IZQUIERDA,6,6,6,6,7,5.5,5.5,6,6,6,8,6,6,6,5.5,5.5,5.5,6.5,6.5,8,8,8,8,8.5,7.5,8.8,8.8,8.5,9.5,9.5,8,8,6,6,6.5,5.5,5.5,6.5,6.5,6.5,6.5,5.5,6,6,6,6,5.5,6,6,10,10,,6,5.5,6,6,6,7,10,10,10,9.7,12,6,6,8,5.5,7.5,5.5,6,6,5,5,,8.5,5.5,5.5,5.5,7,5,5.5,9,9,10,11,10,12,10,10
CAMBIO DE CASQUETES DE CIGÜEÑAL O BANCADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,9.7,12,,,,,,,,,,,11.5,,,,,,,,9,9,10,11,10,12,10,10
CAMBIO DE BIELAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,5.5,5.5,6,6,6,7,10,10,10,9.7,12,5.5,6,7.5,,,,,,,,11.5,,,,,7,,,9,9,10,11,10,12,10,10
CAMBIO DE CASQUETES DE BIELA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,9.7,12,,,,,,,,,,,11.5,,,,,,,,9,9,10,11,10,12,10,10
CAMBIO Y/O REVISION DEL SENSOR  DEL CIGÜEÑAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,2,,,,,1,,,,,,1,,,,,1,,,1,1,1,2,1,2,1,1
CAMBIO EMPAQUE  CENTRO MOTOR,5,4.5,4.5,4.5,5.5,5,5,4.5,4.5,4.5,6,4.5,4.5,4.5,5,5,5,5.5,5.5,7,7,7,7,7.5,6.5,7.8,7.8,7.5,8.5,8.5,7,7,,5,5.5,4,4,5.5,,5.5,5.5,4,5,5,5,5,5,,,8.5,8.5,,,,,,,,,,,,,5.5,,7.5,4.5,7.5,4.5,4.5,4.5,4.5,4.5,,7.5,5,5,5,4,4.5,5,,,,,,,,
SISTEMA DE CLUTCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO Y/O REPARACIÓN DISCOS DE CLUTCH,,,,,,2,2,,,,,,,,2,2,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2,2,,2,2,2,1.5,1.5,2,2,2,2,2,2,2,1.5,1.5,1.5,1.5,1.5,,,,,1.5,1.5,2,2,2,2,,2,2,2,2,2,2,2,2,2
CAMBIO EMPAQUE TAPA CLUTCH,0.5,0.5,0.5,0.5,0.5,0.7,0.7,0.5,0.5,0.5,,0.5,0.5,0.5,0.7,0.7,7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,2,2,,0.7,0.7,1,1,1,1,1.5,1.5,1.5,1.5,1.5,0.7,1,0.7,0.6,0.6,0.6,0.5,0.5,0.5,,0.5,0.7,0.7,0.7,0.7,1.5,,0.7,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CAMBIO MICROSUICHE CLUTCH,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.5,0.5,,,,,,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,0.2,0.2,0.3,0.8,0.8,0.8,0.8,0.8,,0.2,,,0.3,,,,,,,0.6,,,,0.8,,,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
CAMBIO RODAMIENTO EMPUJADOR DEL CLUTCH ,,,,,,1,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.1,1.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,,1,1,1.5,1,1,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,1,1.5,1,,,,,0.7,1,1,1,1,1.5,,1,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CAMBIO PIÑÓN LOCO,,,,,,5,5,,,,,,,,5,5,5,1.7,1.7,1.7,,,,,,,,,,,,,1.7,1.7,1.7,1.7,1,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,2,2,,2,5.5,2,1.5,1.5,1.8,,,,,,5.5,1.5,7.5,1.7,,1.7,,,,,,,5,5,5,,,5,,,,,,,,
CAMBIO MANZANA CLUTCH,,,,,,2.5,2.5,,,,,,,,2.5,2.5,2.5,2,2,2.5,2.5,2.5,2.5,2.5,2,2,2,2,2.1,2.1,2.5,2.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2.5,2.5,2.5,1.5,1.5,1.8,2.5,2.5,2.5,2.5,2.5,2.2,1.5,2,2,2,2,,,,,2,2,2.5,2.5,2.5,2.5,,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
CAMBIO PIÑÓN TRIPLE DE BALANCEO,,,,,,,,,,,,,,,,,,,,2.5,2.5,2.5,2.5,,,,,,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO PIÑÓN PRIMARIO,,,,,,1.5,1.5,,,,,,,,1.5,1.5,1.5,2,2,2.5,2.5,2.5,2.5,2.5,2.2,2.2,2.2,2.2,2.3,2..3,2.5,2.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2.5,5.5,2.5,1.6,1.6,1.9,1.9,1.9,1.9,1.9,10,2.2,1.6,2.2,2,2,2,,,,,2,2.2,1.5,1.5,1.5,1.9,,1.5,1.9,1.9,1.9,2,1.9,2,1.9,1.9
CAMBIO DE CLUTCH CENTRIFUGO,1,1,1,1,1,1.5,1.5,1,1,1,,1,1,1,1.5,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,2.2,,,,,,1,1,1,1,,,1.5,1.5,1.5,,1,1.5,,,,,,,,
CAMBIO FILTRO CENTRIFUGO,,,,,,,,,,,,,,,,,,,,1.5,1.5,1.5,,,,,,,,,1.5,1.5,,,1.5,1.5,,,,,,1.5,,,,,1.5,,,2,,,,,,,,,,,,,,,1,1.8,1.5,,1.5,,,,,,,,,,,,,,,,,,,,
CAMBIO DE VARIADOR DE VELOCIDAD,1,1,1,1,1,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,1.5,,,,,,,,,
CAMBIO DE  LOS ROLLERS,1,1,1,1,1,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,1.5,,,,,,,,,
CAMBIO CLUTCH PRIMARIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO DE TAPA CLUTCH,0.8,0.8,0.8,0.8,0.8,1,1,0.8,0.8,0.8,,0.8,0.8,0.8,1,1,1,1,1,1,1,1,1,1,1.3,1.3,1.3,1.3,1.4,1.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,,0.8,1,1.3,1,1,1.8,2,2,1.5,1.5,1,0.8,1,0.8,0.8,0.6,0.8,0.8,8,0.8,0.8,1,1.3,1,1,1,1.5,0.8,1,1.5,1.5,2,1,2,1,2,2
CAMBIO DE BALANCEADOR,,,,,,,,,,,,,,,,,,,,2.5,2.5,2.5,2.5,8.5,7,8.3,8.3,8,9,9,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,6,,,7,10,10,10,10,12,,6,7,,7.5,,,,,,,8,,,,7,,,9,9,10,11,10,12,10,10
CAMBIO VISOR ACEITE,,,,,,,,,,,,,,,,,,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,,,,1,,1,,,1.5,1.5,1.5,1.5,1.5,1.5,,,1.2,0.7,1,0.7,,,,,0.7,0.7,,,,1.5,,,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CAMBIO LEVA CLUTCH DEL MOTOR,,,,,,0.7,0.7,,,,,,,,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,,,0.7,1,1,1,1,1.5,1.5,1.5,,1.5,,1,1.2,0.7,1,0.7,,,,,0.5,0.7,0.7,0.7,0.7,1.5,,0.7,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CAMBIO RETENEDOR LEVA CLUTCH,,,,,,,,,,,,,,,,,,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,,,,1,1,1,1.2,1.5,1.5,1.5,1.5,1.5,,1,1.2,0.7,1,0.7,,,,,1,0.7,,,,1.5,,,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CAMBIO LEVA EXTERNA ACCIONADORA DEL CLUTCH (MOTOR),,,,,,1,1,,,,,,,,1,1,1,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.7,0.7,0.7,0.7,0.8,0.8,0.3,0.3,,,,,,0.3,0.3,0.3,0.3,,,,,,,,,0.7,0.7,,1,1,1,,,1,,,,,,1,1,,,1,,,,,,1.5,0.7,1,1,1,,,1,,,,,,,,
CAMBIO Y/O REPARACION DEL SEMI CARTER DEL CLUTCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.5,1.5,1.5,1.5,,,,,,,,,,,,,,,,1.5,,,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CAMBIO Y/O REPARACION DEL BUJE CENTRAL DEL CLUTCH,,,,,,2.5,2.5,,,,,,,,2.5,2.5,2.5,2,2,2,,,,1.5,2,2,2,2,2.1,2.1,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,1.8,2.5,,1.5,1.5,1.5,2.5,2.5,2,2,2.5,1.8,1.5,,2,1.5,2,,,,,2,2,2.5,2.5,2.5,2,,2.5,2,2,2.5,2.5,2.5,2.5,2.5,2.5
CAMBIO Y/O REPARACION DE LAS ARANDELAS SEPARADORAS DE CLUTCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,2,,,,,,,,,,,,,,,
CAMBIO Y/O REPARACION DE LAS ZAPATAS DEL CLUTCH CENTRIFUGO,,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1,1.5,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,1.5,,,,,,,,,,1.3,,,,,,1,1,1,1,,,1.5,,,,1,,,,,,,,,
CAMBIO  DE  LA TAPA DEL FILTRO CENTRIFUGO,,,,,,,,,,,,,,,0.7,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,1.5,,,0.7,,0.7,,,,,,,,,,,,,,,,,,,,
CAMBIO DEL EMPAQUE DE LA TAPA DEL CLUTCH CENTRIFUGO,,0.5,0.5,0.5,0.5,,,0.5,0.5,0.5,,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,1.5,,,0.7,,0.7,0.5,0.5,0.5,0.5,,,,,,,0.5,,,,,,,,,
CAMBIO TAPA O EMPAQUE  DEL FILTRO CENTRIFUGO,,,,,,1,1,,,,,,,,1,1,1,,,0.9,0.9,0.9,,,,,,,,,0.9,1,,,1,0.9,,,,,,0.9,,,,,0.9,,,,,,,,,,,,,,,,,,,1.5,0.7,,0.7,,,,,,,,1,1,,,1,,,,,,,,
CAMBIO DE LOS TORNILLOS DE LA TAPA DEL FILTRO CENTRIFUGO,,,,,,,,,,,,,,,0.7,0.7,0.7,,,,0.9,0.9,,,,,,,,,0.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,0.5,,0.5,,,,,,,,,,,,,,,,,,,,
CAMBIO DEL PIN DEL FILTRO CENTRIFUGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO  DE LA TUERCA O PIN SUJETADORA DEL CLUTCH,,,,,,1.5,1.5,,,,,,,,1.5,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1,1.2,1.2,1.2,1.2,1.3,1.3,1.0,1,1.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1,1,1.0,1.0,1.0,1,1,1.5,1.5,,1.6,1.5,1.0,1.0,1.0,1.2,1.5,1.5,1.5,1.5,1.5,1.8,1,1.3,1.0,1,1.0,,,,,1.5,1.2,1.5,1.5,1.5,1.5,,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CAMBIO DE LA TUERCA SUJETADORA DEL CLUTCH CENTRIFUGO,,0.5,0.5,0.5,0.5,0.7,0.7,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.7,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,0.7,,,,,,,,,,1.8,,,,,,0.5,0.5,0.5,,,,0.7,0.7,0.7,,,0.7,,,,,,,,
CAMBIO DE LA ARANDELA DEL CLUTCH Y DEL CLUTCH CENTRIFUGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
TENSIÓN SISTEMA DE CLUTCH SEMI AUTOMATICO ,,,,,,0.3,0.3,,,,,,,,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,,,,,,,,,,0.3,,,,,,,,,,,,0.3,0.3,0.3,,,0.3,,,,,,,,
CAMBIO DE ACCIONADOR DE CLUTCH,,,,,,0.7,0.7,,,,,,,,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,,,,,0.7,,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,2,2,,1.6,0.7,1,0.7,0.7,1,1.5,1.5,1,1,1.5,0.7,0.7,0.7,0.7,0.7,0.7,,,,,1,,0.7,0.7,0.7,1,,0.7,1,1,1.5,1.5,1.5,1.5,1.5,1.5
SISTEMA DE TRANSMISIÓN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO EJE DE SALIDA ( TRANSMISIÓN ),2,2,2,2,2.5,5.5,5.5,2,2,2,3,2,2,2,5.5,5.5,5.5,6,6,7.5,7.5,7.5,7.5,7.5,7,7.8,7.8,7.5,8.5,8.5,7.5,7.5,6,6,6,6,6,6,6,6,6,6,0.6,0.6,6,6,5,6,6,9,9,,5.5,5.5,6,6,6,7,10,10,10,10,5,5.5,6,7.5,6,7.5,6,2,2,2.5,2.5,11.0,7.5,5.5,5.5,5.5,9,,5.5,9,9,10,7,10,8,10,10
CAMBIO DE PIÑONERIA DE CAJA,2,2,2,2.5,2.5,5.5,5.5,2,2,2,3,2,2,2,5.5,5.5,5.5,6,6,7.5,7.5,7.5,7.5,7.5,7,7.8,7.8,7.5,8.5,8.5,7.5,7.5,6,6,6,6,6,6,6,6,6,6,0.6,0.6,6,6,5,6,6,9,9,,5.5,5.5,6,6,6,7,10,10,10,10,5,5.5,6,7.5,6,7.5,6,2,2,2.5,2.5,11,7.5,5.5,5.5,5.5,9,,5.5,9,9,10,7,10,8,10,10
CAMBIO RETEN EJE SALIDA ,2,2,2,2,2.5,0.5,0.5,2,2,2,,2,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,5,0.5,0.5,0.5,0.5,0.4,0.5,2,2,2.5,2.5,0.7,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,0.5,7,0.5,8,0.5,0.5
CAMBIO DE SELECTOR Y/O HORQUILLAS DE CAMBIOS,,,,2.5,,5.5,5.5,,,,,,,,5.5,5.5,5.5,6,6,7.5,7.5,7.5,7.5,7.5,7,7.8,7.8,7.5,8.5,8.5,7.5,7.5,6,6,6,5,5,6,6,6,6,5,6,6,6,6,5,6,6,2,,,5.5,5.5,6,6,6,7,10,10,10,10,5,5.5,6,7.5,5,7.5,5,,,,,11,7.5,5.5,5.5,5.5,9,,5.5,9,9,10,7,10,8,10,10
CAMBIO DE  RODAMIENTOS DE LA CAJA,2,2,2,2,2.5,5.5,5.5,2,2,2,3,2,2,2,5.5,5.5,5.5,6,6,7.5,7.5,7.5,7.5,7.5,7,7.8,7.8,7.5,8.5,8.5,7.5,7.5,6,6,6,5,5,6,6,6,6,5,6,6,6,6,5,6,6,10,1,,5.5,5.5,6,6,6,7,10,10,10,10,5,5.5,6,7.5,5,7.5,5,2,2,2.5,2.5,11,7.5,5.5,5.5,5.5,9,2.5,5.5,9,9,10,7,10,8,10,10
CAMBIO EJE DE SALIDA (LARGO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO EJE DE SALIDA (CORTO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
